model,worst_group_gap,worst_group_rmse
GB_FeatureMask,0.036955319697288755,0.15003772545516253
GB_Baseline,0.03941930823776538,0.1504024468360358
GB_NoiseAug,0.040189430202718215,0.15194998774801413
GB_NoisePlusFeatureMask,0.04143080201806204,0.1596210747928067
