rank,model,test,clean_rmse,clean_mae,clean_r2,feature_ablation,feature_noise,target_corruption,worst_group_rmse,best_group_rmse,mean_group_rmse,worst_group_gap,robust_penalty_raw,RobustScore,joint_rank_score
1,GB_Baseline,clean,0.11098313859827041,0.07342733238299352,0.9184046848437357,0.007386491066539459,-0.00011258416262984368,-4.7315515527994456e-05,0.1504024468360358,0.08185991950900547,0.10623758899754877,0.03941930823776538,0.011549858796744037,-0.011549858796744037,-0.6591235993701506
2,GB_FeatureMask,clean,0.11308240575787377,0.07537770346527493,0.9152887095239192,0.007581290283075155,-0.00019108477164986315,-4.7124680446604394e-05,0.15003772545516253,0.08552080553731442,0.10903560602284139,0.036955319697288755,0.011138779658620696,-0.011138779658620696,-0.1671671312052394
3,GB_NoiseAug,clean,0.11176055754529592,0.0744237205906719,0.9172575571564722,0.008001459786745541,0.000885961407640338,-0.00020653496959056883,0.15194998774801413,0.08234657404355922,0.10685102043172806,0.040189430202718215,0.012195154718485425,-0.012195154718485425,0.01918097939786445
4,GB_NoisePlusFeatureMask,clean,0.11819027277474467,0.07871325471977123,0.9074631548248442,0.0027841629623545036,0.0008423393883336497,-0.0006620964696141887,0.1596210747928067,0.08469623990005043,0.11317720913503056,0.04143080201806204,0.00978050011549497,-0.00978050011549497,0.8071097511775434
