test,base_rmse,stressed_rmse,delta_rmse,base_mae,stressed_mae,delta_mae,base_r2,stressed_r2,delta_r2
feature_noise_3pct,0.11058757246234327,0.1106049929299301,1.7420467586834465e-05,0.07401569988466851,0.07406181560495025,4.611572028173638e-05,0.9189852923892855,0.9189597664605358,-2.5525928749714488e-05
feature_noise_5pct,0.11058757246234327,0.11059965113825997,1.2078675916696313e-05,0.07401569988466851,0.07421594494254742,0.00020024505787891167,0.9189852923892855,0.9189675941286962,-1.769826058928281e-05
drop_garage_features,0.11058757246234327,0.11319508289625481,0.002607510433911539,0.07401569988466851,0.07720297324785241,0.003187273363183904,0.9189852923892855,0.9151198100183867,-0.0038654823708987873
drop_basement_features,0.11058757246234327,0.11119941946936855,0.0006118470070252818,0.07401569988466851,0.07439869164398522,0.0003829917593167059,0.9189852923892855,0.918086353581018,-0.0008989388082675243
target_corruption_gaussian_3pct,0.11058757246234327,0.11073312271572656,0.00014555025338329475,0.07401569988466851,0.07386930510699896,-0.0001463947776695479,0.9189852923892855,0.9187718964206331,-0.00021339596865244115
target_corruption_subset_15pct,0.11058757246234327,0.11061420906094042,2.6636598597154504e-05,0.07401569988466851,0.07408407489255787,6.837500788936524e-05,0.9189852923892855,0.9189462605869527,-3.9031802332778476e-05
