scenario,GB_FinitelyAdaptive,GB_StaticImpute,adaptive_minus_static_rmse
clean,0.11058757246234327,0.11058757246234327,0.0
missing_basement,0.11346523519955225,0.11912243731300401,-0.005657202113451762
missing_garage,0.11319508289625481,0.12419452981025213,-0.010999446913997318
missing_garage_and_basement,0.11384134878266067,0.13902339106640849,-0.02518204228374782
