rank,model,rmse_mean,rmse_std,rmse_min,rmse_max,fold_1_rmse,fold_2_rmse,fold_3_rmse,fold_4_rmse,fold_5_rmse
1,GradientBoosting,0.11348371893516136,0.0024953913381651326,0.10992748017539912,0.11604900569977827,0.10992748017539912,0.1141325352126393,0.11126440310458224,0.11604900569977827,0.11604517048340787
2,ElasticNet,0.11483113042558475,0.0031215247054445314,0.11043125547270118,0.11959308020212704,0.11417831418295674,0.11959308020212704,0.11043125547270118,0.11321353732018433,0.11673946494995449
3,Lasso,0.11527020737727914,0.003249998577015677,0.11040686551141786,0.11971492379917036,0.11435030501148387,0.11971492379917036,0.11040686551141786,0.11398207417549208,0.11789686838883148
4,Ridge,0.11838805917194321,0.004094303986451132,0.11182518420137791,0.12278948525443617,0.12169243056638165,0.12278948525443617,0.12003027585245608,0.11560291998506429,0.11182518420137791
5,LightGBM,0.11890230714007385,0.0019728201545385427,0.11640464189637557,0.1212450726825733,0.11699192315296209,0.1212450726825733,0.11894728775201137,0.11640464189637557,0.12092261021644704
6,XGBoost,0.1199833264669052,0.004128385088033619,0.11420362529655109,0.12674888565405149,0.11420362529655109,0.11988134944869744,0.11786224060165328,0.12122053133357262,0.12674888565405149
7,RandomForest,0.13698862640021794,0.0063208706657866725,0.12991429500248075,0.14857575492002636,0.1378632451281095,0.12991429500248075,0.13399306162253133,0.1345967753279417,0.14857575492002636
