scenario,model_type,rmse,mae,r2
clean,GB_StaticImpute,0.11058757246234327,0.07401569988466851,0.9189852923892855
clean,GB_FinitelyAdaptive,0.11058757246234327,0.07401569988466851,0.9189852923892855
missing_garage,GB_StaticImpute,0.12419452981025213,0.08586779442662122,0.8978222924971416
missing_garage,GB_FinitelyAdaptive,0.11319508289625481,0.07720297324785241,0.9151198100183867
missing_basement,GB_StaticImpute,0.11912243731300401,0.07968870835863956,0.9059977257783367
missing_basement,GB_FinitelyAdaptive,0.11346523519955225,0.07619659467553898,0.9147141750492134
missing_garage_and_basement,GB_StaticImpute,0.13902339106640849,0.09460072303190403,0.8719655104073988
missing_garage_and_basement,GB_FinitelyAdaptive,0.11384134878266067,0.0797108534577949,0.9141478285079818
